Algorithm,Devices,FailureRate
DDQN_Mobility,200,0.08806693086745927
DDQN_Mobility,200,0.12662234884457108
DDQN_Mobility,200,0.19047619047619047
DDQN_Mobility,200,0.1501251042535446
DDQN_Mobility,400,0.2559789365903606
DDQN_Mobility,400,0.18249562770891947
DDQN_Mobility,400,0.16240956739997048
DDQN_Mobility,400,0.14279272508642718
DDQN_Mobility,400,0.20274105911929283
DDQN_Mobility,400,0.2631761202299328
DDQN_Mobility,400,0.22048980234664148
DDQN_Mobility,400,0.15315170078994036
DDQN_Mobility,400,0.25714495628535744
DDQN_Mobility,400,0.20568834669125471
DDQN_Mobility,400,0.1814196084360118
DDQN_Mobility,400,0.19343918755541226
DDQN_Mobility,400,0.2727406752174554
DDQN_Mobility,400,0.19083969465648853
DDQN_Mobility,400,0.27090610964568335
DDQN_Mobility,600,0.39313262005474
DDQN_Mobility,600,0.3135256944104247
DDQN_Mobility,600,0.24028629856850717
DDQN_Mobility,600,0.2810373730401341
DDQN_Mobility,600,0.30864197530864196
DDQN_Mobility,600,0.2960845372402879
DDQN_Mobility,600,0.3364306312079462
DDQN_Mobility,600,0.30652098679982204
DDQN_Mobility,600,0.32584378951463866
DDQN_Mobility,600,0.2975732389307886
DDQN_Mobility,600,0.27385202210377035
DDQN_Mobility,600,0.43288006399096596
DDQN_Mobility,600,0.244307632170429
DDQN_Mobility,600,0.3125355153994772
DDQN_Mobility,600,0.3311084248699217
DDQN_Mobility,800,0.2826499399852867
DDQN_Mobility,800,0.41618668945784254
DDQN_Mobility,800,0.38093726439427006
DDQN_Mobility,800,0.35098200283772685
DDQN_Mobility,800,0.36327373744568703
DDQN_Mobility,800,0.344453905101014
DDQN_Mobility,800,0.41948528022372544
DDQN_Mobility,800,0.3261281759575275
DDQN_Mobility,800,0.4327689621137347
DDQN_Mobility,800,0.3304741747428614
DDQN_Mobility,800,0.3819679306091593
DDQN_Mobility,800,0.31768312954822503
DDQN_Mobility,800,0.24236548715462916
DDQN_Mobility,800,0.39887555082814163
DDQN_Mobility,800,0.3264617416183699
DDQN_Mobility,1000,0.37457500144067307
DDQN_Mobility,1000,0.3435510143639864
DDQN_Mobility,1000,0.3789913458669054
DDQN_Mobility,1000,0.33836387591328304
DDQN_Mobility,1000,0.29254307696808357
DDQN_Mobility,1000,0.3701076396385282
DDQN_Mobility,1000,0.3154949699386868
DDQN_Mobility,1000,0.3915473592970081
DDQN_Mobility,1000,0.2826768266453635
DDQN_Mobility,1000,0.35597745476119846
DDQN_Mobility,1000,0.3392530532774795
DDQN_Mobility,1000,0.36955138884681793
DDQN_Mobility,1000,0.33178303759220307
DDQN_Mobility,1000,0.2976015086333903
DDQN_Mobility,1000,0.352825495980103
DDQN_Mobility,1200,0.3302012771019982
DDQN_Mobility,1200,0.3093293739173472
DDQN_Mobility,1200,0.33182804820239015
DDQN_Mobility,1200,0.36148537627341437
DDQN_Mobility,1200,0.33159520072900317
DDQN_Mobility,1200,0.35259216029569107
DDQN_Mobility,1200,0.3415137796839012
DDQN_Mobility,1200,0.3411469774894684
DDQN_Mobility,1200,0.3514018691588785
DDQN_Mobility,1200,0.30012585923129054
DDQN_Mobility,1200,0.29079080312476896
DDQN_Mobility,1200,0.4006720951273103
DDQN_Mobility,1200,0.34590718577993235
DDQN_Mobility,1200,0.347534449656111
DDQN_Mobility,1200,0.33815665303554576
DDQN_Mobility,1400,0.34652945500367527
DDQN_Mobility,1400,0.3860131819395109
DDQN_Mobility,1400,0.30206917384080956
DDQN_Mobility,1400,0.3757559587335468
