Algorithm,Devices,Delay
Fuzzy_Based,2400,0.65762012581127
HEO,200,0.33785000898181333
HEO,200,0.3552683579553066
HEO,200,0.3508859662559905
HEO,200,0.3426132893461696
HEO,200,0.36278245312696844
HEO,200,0.34085885553243395
HEO,200,0.34962398338510337
HEO,200,0.33154238507647465
HEO,200,0.3353849894450264
HEO,200,0.3450322098773129
HEO,200,0.34925444557432084
HEO,200,0.35525746414620524
HEO,200,0.34643836322511984
HEO,200,0.3464940442542611
HEO,200,0.3363215877058551
HEO,400,0.3553652576811295
HEO,400,0.3395100472883178
HEO,400,0.3293840819347457
HEO,400,0.32722508373841747
HEO,400,0.3389221822988297
HEO,400,0.3424712168541721
HEO,400,0.3427909966875819
HEO,400,0.3358270617985726
HEO,400,0.3217277287601831
HEO,400,0.3316579967357867
HEO,400,0.3372977185291272
HEO,400,0.3352277094628148
HEO,400,0.3335126154778417
HEO,400,0.33261698785660093
HEO,400,0.3399223736530487
HEO,600,0.3470989620831851
HEO,600,0.3450842807029878
HEO,600,0.3436546823676659
HEO,600,0.34707514350273194
HEO,600,0.34895096756775235
HEO,600,0.34121216885374756
HEO,600,0.34805070168490077
HEO,600,0.34805868599209006
HEO,600,0.341163981776628
HEO,600,0.3433717284500213
HEO,600,0.3417736432686926
HEO,600,0.3305843150243379
HEO,600,0.34953939754776414
HEO,600,0.3454790849385166
HEO,600,0.3408290837288286
HEO,800,0.36267533683289715
HEO,800,0.3593973456244347
HEO,800,0.3703260201019198
HEO,800,0.35192017694432737
HEO,800,0.35795720119763375
HEO,800,0.35541799829535725
HEO,800,0.35752523649542123
HEO,800,0.36016766304692827
HEO,800,0.36658557517500706
HEO,800,0.34829551566862316
HEO,800,0.35710543050520466
HEO,800,0.3630913604578692
HEO,800,0.36554368203290044
HEO,800,0.35025235927411874
HEO,800,0.3600382390063233
HEO,1000,0.3859190566648876
HEO,1000,0.38374839390093257
HEO,1000,0.38094283029725684
HEO,1000,0.3786243189135898
HEO,1000,0.3803292892638305
HEO,1000,0.38288679197136605
HEO,1000,0.3797579345219175
HEO,1000,0.3864364803979025
HEO,1000,0.37827452415580365
HEO,1000,0.3797141696602626
HEO,1000,0.38222313127578667
HEO,1000,0.38373051503459726
HEO,1000,0.371032027695737
HEO,1000,0.3835906985414931
HEO,1000,0.39060164725806223
HEO,1200,0.41040312265016093
HEO,1200,0.3997110505624631
HEO,1200,0.4024304759092422
HEO,1200,0.40495285063613295
HEO,1200,0.4038019800633291
HEO,1200,0.4064548052683412
HEO,1200,0.41085617882270664
HEO,1200,0.40449807477639665
HEO,1200,0.39739996975696273
HEO,1200,0.40796972368210693
HEO,1200,0.41011860226445
HEO,1200,0.41828280586056665
HEO,1200,0.4015927363499186
HEO,1200,0.41182538435520305
HEO,1200,0.4009021611957049
HEO,1400,0.4228148941842552
HEO,1400,0.42260939493813726
HEO,1400,0.4274884897972749
HEO,1400,0.4358602459711031
HEO,1400,0.43285746786220175
HEO,1400,0.43499773668328784
HEO,1400,0.4267469027686452
HEO,1400,0.43377504381451276
HEO,1400,0.43553153236840986
HEO,1400,0.4301039057151663
HEO,1400,0.4324182689055844
HEO,1400,0.42496583256808057
HEO,1400,0.42478594001376974
HEO,1400,0.4317042862639787
HEO,1400,0.4331810131570241
HEO,1600,0.4459976179610984
HEO,1600,0.4484450096447445
HEO,1600,0.4422713952314362
HEO,1600,0.44069382362365395
HEO,1600,0.4524003365101399
HEO,1600,0.4550592528587775
HEO,1600,0.45672198942969194
HEO,1600,0.4610137028537767
HEO,1600,0.459310166149222
HEO,1600,0.4440060924826718
HEO,1600,0.4473071332643309
HEO,1600,0.44884607986418423
HEO,1600,0.4509042908540472
HEO,1600,0.4560966540681365
HEO,1600,0.45571949297899894
HEO,1800,0.463625671933457
HEO,1800,0.48514507328433565
HEO,1800,0.47249638312253595
HEO,1800,0.4767743156200057
HEO,1800,0.45777905682569947
HEO,1800,0.46889969459450576
HEO,1800,0.4725399805578424
HEO,1800,0.4723675011637029
HEO,1800,0.46686704984333594
HEO,1800,0.47561684359544404
HEO,1800,0.4839376068022169
HEO,1800,0.4720102361421892
HEO,1800,0.4684061231121591
HEO,1800,0.4701211969883664
HEO,1800,0.4708678795447899
HEO,2000,0.4921521632558467
HEO,2000,0.4789403800266246
HEO,2000,0.49119665951711927
HEO,2000,0.4871089369101204
HEO,2000,0.4826341329843079
HEO,2000,0.4916223282896514
HEO,2000,0.4787752507856629
HEO,2000,0.48633097432581557
HEO,2000,0.48062571056752035
HEO,2000,0.49147078061312865
HEO,2000,0.47959209519694423
HEO,2000,0.4867866874686733
HEO,2000,0.4850147458880659
HEO,2000,0.4865774756427702
HEO,2000,0.4893487726278021
HEO,2200,0.5143167256632312
HEO,2200,0.5080317879059617
HEO,2200,0.5141727365723128
HEO,2200,0.5062854410742439
HEO,2200,0.509927745967794
HEO,2200,0.5077699463427944
HEO,2200,0.5111369478298484
HEO,2200,0.5065367030423611
HEO,2200,0.5600894217583663
HEO,2200,0.5053355198274659
HEO,2200,0.5062014103687141
HEO,2200,0.5032150664369469
HEO,2200,0.5063821385442449
HEO,2200,0.5022397202288602
HEO,2200,0.5043065386952497
HEO,2400,0.5244532327328875
HEO,2400,0.5356265491795983
HEO,2400,0.6084977948770741
HEO,2400,0.7109813291196809
HEO,2400,0.6342907412521291
HEO,2400,0.5422119251969062
HEO,2400,0.5228586740771175
HEO,2400,0.6570442990673956
HEO,2400,0.5126798809064285
HEO,2400,0.576664259893874
HEO,2400,0.5279981061195607
HEO,2400,0.5340728270670417
HEO,2400,0.5330146016189296
HEO,2400,0.5289284003426533
HEO,2400,0.6394331204891682
