taskId,requiredCycles,dataSize,serverId,edgeUtilization,wanBW,predictedDelay,actualDelay
217,7176.0,2299.0,6,3.625,11.7421455078125,0.0,0.7175694082695809
218,22101.0,1402.0,3,3.625,11.7421455078125,0.0,3.2587076640185426
219,10867.0,740.0,11,3.7142857142857144,20.2187236328125,0.0,1.2558763656974055
220,6700.0,384.0,11,4.089285714285714,20.2187236328125,0.0,0.8410034811341536
221,3422.0,104.0,11,4.089285714285714,20.2187236328125,0.0,0.5063978787674923
222,13281.0,1612.0,7,4.339285714285714,20.2187236328125,0.0,1.9067388932142642
223,13961.0,172.0,3,4.339285714285714,11.7421455078125,0.0,1.5771148315592107
224,15261.0,1787.0,7,4.392857142857143,20.2187236328125,0.0,2.1120436178517785
225,11037.0,98.0,13,4.392857142857143,20.2187236328125,0.0,1.103609545825515
226,228.0,217.0,12,4.339285714285714,20.2187236328125,0.0,0.022800000000000153
227,13557.0,1091.0,14,4.339285714285714,20.2187236328125,0.0,0.14856698019509196
228,15327.0,3071.0,7,4.357142857142857,20.2187236328125,0.0,2.1113868911481717
229,3815.0,583.0,6,4.357142857142857,11.7421455078125,0.0,0.38150000000000084
230,5339.0,5165.0,11,4.303571428571429,20.2187236328125,0.0,0.5422609832934313
231,4872.0,762.0,11,4.375,20.2187236328125,0.0,0.48710755776724035
232,763.0,218.0,11,4.375,20.2187236328125,0.0,0.071397500794113
233,1212.0,472.0,12,4.410714285714286,20.2187236328125,0.0,0.12111817872227704
234,493.0,643.0,3,4.446428571428571,11.7421455078125,0.0,0.05468962781956144
235,7860.0,893.0,3,4.464285714285714,11.7421455078125,0.0,0.8334513655969165
236,21181.0,1714.0,2,4.464285714285714,20.2187236328125,0.0,2.118079421526435
237,2644.0,1312.0,12,4.464285714285714,20.2187236328125,0.0,0.27852543350900305
238,943.0,1428.0,3,4.535714285714286,11.7421455078125,0.0,0.15436552423468797
239,16013.0,425.0,11,4.553571428571429,20.2187236328125,0.0,1.5956834398433077
240,1745.0,132.0,12,4.553571428571429,20.2187236328125,0.0,0.17446316533031947
241,2005.0,207.0,11,4.553571428571429,20.2187236328125,0.0,0.20043727880333861
242,2277.0,4594.0,3,4.678571428571429,11.7421455078125,0.0,0.36438898821828225
243,40269.0,434.0,14,4.714285714285714,20.2187236328125,0.0,0.40268251825211365
244,2232.0,342.0,11,4.714285714285714,20.2187236328125,0.0,0.2231872667854251
245,23183.0,1861.0,11,4.714285714285714,20.2187236328125,0.0,2.4290248388016487
246,2401.0,440.0,3,4.660714285714286,11.7421455078125,0.0,0.37545148844123766
247,823.0,1338.0,3,4.714285714285714,11.7421455078125,0.0,0.16231640364282462
248,10496.0,1272.0,3,4.571428571428571,11.7421455078125,0.0,1.1785233152042967
249,401.0,882.0,3,4.625,20.2187236328125,0.0,0.05534637778273499
250,15903.0,486.0,3,4.678571428571429,11.7421455078125,0.0,1.8264637038239488
251,986.0,6842.0,2,4.678571428571429,20.2187236328125,0.0,0.0985587836077233
252,5451.0,4535.0,2,4.660714285714286,20.2187236328125,0.0,0.5450899858575973
253,1018.0,1169.0,2,4.785714285714286,11.7421455078125,0.0,0.10179160448921643
254,5206.0,236.0,2,4.839285714285714,20.2187236328125,0.0,0.5205189088947577
255,4039.0,4301.0,10,4.910714285714286,11.7421455078125,0.0,0.40390000000000015
256,6002.0,616.0,13,4.964285714285714,20.2187236328125,0.0,0.6001503519633911
257,393.0,980.0,14,5.125,20.2187236328125,0.0,0.1021106677240784
258,3180.0,794.0,2,5.125,20.2187236328125,0.0,0.3338200044482651
259,1704.0,717.0,7,5.089285714285714,20.2187236328125,0.0,0.1703243694949368
260,742.0,1679.0,12,4.946428571428571,20.2187236328125,0.0,0.07419999999999938
261,569.0,677.0,12,4.928571428571429,20.2187236328125,0.0,0.050039609868534285
262,1782.0,1229.0,3,5.0,11.7421455078125,0.0,0.22985479460945335
263,2789.0,187.0,14,5.0,20.2187236328125,0.0,0.027889999999999304
264,2041.0,624.0,5,5.0,20.2187236328125,0.0,0.202221599386041
265,889.0,8551.0,12,5.017857142857143,20.2187236328125,0.0,0.10499555706017816
266,2006.0,675.0,5,5.25,20.2187236328125,0.0,0.20059999999999967
267,7615.0,2972.0,3,5.196428571428571,11.7421455078125,0.0,0.9625755915271661
268,4045.0,837.0,13,5.196428571428571,20.2187236328125,0.0,0.4045000000000005
269,4231.0,4669.0,14,5.196428571428571,20.2187236328125,0.0,0.042310000000000514
270,5859.0,656.0,7,5.196428571428571,20.2187236328125,0.0,0.5858382607880603
271,2324.0,125.0,2,5.196428571428571,20.2187236328125,0.0,0.23238173686683794
272,797.0,767.0,3,5.267857142857143,11.7421455078125,0.0,0.12369999999999948
